chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
D16APG2r2	0.0	mmu-mir-669a-3-3p	6128	no	D16L	4.56827822242	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669a-3-3p	6128	no	D18H	1.82947058133	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669a-3-3p	6128	no	D2H	3.77536454193	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669a-3-3p	6128	no	D21Ø	4.99539111473	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669a-3-3p	6128	no	D21L	5.82017338541	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669a-3-3p	6128	no	D5H	1.68320925336	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669a-3-3p	6128	no	D8H	2.87863285335	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669a-3-3p	6128	no	1⁰iPSC	3.87424771856	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669a-3-3p	6128	no	2⁰iPSC	2.36851542731	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669a-3-3p	6128	no	ESC	3.15420587284	ESC	ESC	ESC	
D0	0.0	mmu-mir-466g	6128	no	2°MEF	0.499841790066	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466g	6128	no	D11H	3.65283339794	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466g	6128	no	D16H	3.76816210696	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466g	6128	no	D16L	2.24805847001	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466g	6128	no	D18H	3.17139015142	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466g	6128	no	D2H	4.20832394922	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466g	6128	no	D21Ø	2.52269484627	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466g	6128	no	D21L	3.57048853323	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466g	6128	no	D5H	3.41754937811	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466g	6128	no	D8H	3.53942676702	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466g	6128	no	1⁰iPSC	4.14451369362	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466g	6128	no	2⁰iPSC	3.55173725135	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466g	6128	no	ESC	4.40121826096	ESC	ESC	ESC	
D0	0.0	mmu-mir-467d-3p	6128	no	2°MEF	8.89820825755	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-467d-3p	6128	no	D11H	10.7455545888	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-467d-3p	6128	no	D16H	11.6968577079	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-467d-3p	6128	no	D16L	9.67223718475	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-467d-3p	6128	no	D18H	10.9082730199	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-467d-3p	6128	no	D2H	11.726940681	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-467d-3p	6128	no	D21Ø	9.92357428254	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-467d-3p	6128	no	D21L	10.5350330863	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-467d-3p	6128	no	D5H	11.2617706433	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-467d-3p	6128	no	D8H	11.362755636	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-467d-3p	6128	no	1⁰iPSC	11.1330563759	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-467d-3p	6128	no	2⁰iPSC	10.8366303137	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-467d-3p	6128	no	ESC	10.9439162718	ESC	ESC	ESC	
D0	0.0	mmu-mir-669e-5p	6128	no	2°MEF	3.87998449893	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669e-5p	6128	no	D11H	7.20637780228	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669e-5p	6128	no	D16H	7.57115623465	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669e-5p	6128	no	D16L	7.34826980399	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669e-5p	6128	no	D18H	7.87030186055	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669e-5p	6128	no	D2H	6.07748415574	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669e-5p	6128	no	D21Ø	7.9552255817	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669e-5p	6128	no	D21L	7.71470668293	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669e-5p	6128	no	D5H	6.14859013831	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669e-5p	6128	no	D8H	6.42530686934	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669e-5p	6128	no	1⁰iPSC	7.83101422081	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669e-5p	6128	no	2⁰iPSC	8.05209492688	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669e-5p	6128	no	ESC	9.32967275767	ESC	ESC	ESC	
D0	0.0	mmu-mir-669k-5p	6128	no	2°MEF	None	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669k-5p	6128	no	D11H	-3.5468389466	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669k-5p	6128	no	D16H	-0.0596569175829	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669k-5p	6128	no	D16L	-1.45238124831	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669k-5p	6128	no	D18H	-1.01183167274	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669k-5p	6128	no	D2H	-1.42103267069	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669k-5p	6128	no	D21Ø	-1.21684469146	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669k-5p	6128	no	D21L	None	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669k-5p	6128	no	D5H	0.545705729643	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669k-5p	6128	no	D8H	0.687949291745	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669k-5p	6128	no	1⁰iPSC	-0.76237690187	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669k-5p	6128	no	2⁰iPSC	-0.0465220720402	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669k-5p	6128	no	ESC	0.364128942208	ESC	ESC	ESC	
D0	0.0	mmu-mir-669c-3p	6128	no	2°MEF	None	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669c-3p	6128	no	D11H	-2.5468389466	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669c-3p	6128	no	D16H	-1.79662251195	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669c-3p	6128	no	D16L	-3.15282096655	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669c-3p	6128	no	D18H	-3.59679417317	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669c-3p	6128	no	D2H	-3.00599517102	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669c-3p	6128	no	D21Ø	-5.02419961553	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669c-3p	6128	no	D21L	-1.7363326693	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669c-3p	6128	no	D5H	-2.09815046016	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669c-3p	6128	no	D8H	-3.83561266404	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669c-3p	6128	no	1⁰iPSC	-1.76237690211	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669c-3p	6128	no	2⁰iPSC	None	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669c-3p	6128	no	ESC	-1.63587105768	ESC	ESC	ESC	
D0	0.0	mmu-mir-669h-5p	6128	no	2°MEF	1.58230395027	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669h-5p	6128	no	D11H	2.51925024356	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669h-5p	6128	no	D16H	5.98473720171	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669h-5p	6128	no	D16L	3.94521111668	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669h-5p	6128	no	D18H	5.06854174383	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669h-5p	6128	no	D2H	4.14882293747	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669h-5p	6128	no	D21Ø	5.12554750587	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669h-5p	6128	no	D21L	1.64448911469	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669h-5p	6128	no	D5H	4.14025427915	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669h-5p	6128	no	D8H	5.78643915513	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669h-5p	6128	no	1⁰iPSC	5.31443869507	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669h-5p	6128	no	2⁰iPSC	5.88421526559	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669h-5p	6128	no	ESC	7.11343972681	ESC	ESC	ESC	
D0	0.0	mmu-mir-466o-3p	6128	no	2°MEF	-1.26569295632	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466o-3p	6128	no	D11H	2.20804855528	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466o-3p	6128	no	D16H	3.12620962767	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466o-3p	6128	no	D16L	2.93464187496	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466o-3p	6128	no	D18H	2.33394316419	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466o-3p	6128	no	D2H	3.42026958311	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466o-3p	6128	no	D21Ø	3.24726341427	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466o-3p	6128	no	D21L	3.95482923528	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466o-3p	6128	no	D5H	2.40964418001	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466o-3p	6128	no	D8H	2.55670475844	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466o-3p	6128	no	1⁰iPSC	3.13244086133	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466o-3p	6128	no	2⁰iPSC	2.78355292658	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466o-3p	6128	no	ESC	2.70990377906	ESC	ESC	ESC	
D0	0.0	mmu-mir-669f-5p	6128	no	2°MEF	6.15889326998	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669f-5p	6128	no	D11H	5.38389839067	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669f-5p	6128	no	D16H	8.68349447646	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669f-5p	6128	no	D16L	8.46911642168	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669f-5p	6128	no	D18H	8.86263744528	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669f-5p	6128	no	D2H	8.39834812	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669f-5p	6128	no	D21Ø	8.63244869812	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669f-5p	6128	no	D21L	4.95250042923	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669f-5p	6128	no	D5H	8.50524407071	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669f-5p	6128	no	D8H	8.91195096593	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669f-5p	6128	no	1⁰iPSC	8.87990047652	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669f-5p	6128	no	2⁰iPSC	9.14850830506	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669f-5p	6128	no	ESC	10.2149669037	ESC	ESC	ESC	
D0	0.0	mmu-mir-669d-2-3p	6128	no	2°MEF	2.73430704373	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669d-2-3p	6128	no	D11H	5.04561809037	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669d-2-3p	6128	no	D16H	5.45761877556	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669d-2-3p	6128	no	D16L	4.66256232953	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669d-2-3p	6128	no	D18H	4.84614932249	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669d-2-3p	6128	no	D2H	5.23001902031	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669d-2-3p	6128	no	D21Ø	5.35734333755	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669d-2-3p	6128	no	D21L	5.92781828273	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669d-2-3p	6128	no	D5H	4.40964418002	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669d-2-3p	6128	no	D8H	4.76430017786	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669d-2-3p	6128	no	1⁰iPSC	5.59737265834	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669d-2-3p	6128	no	2⁰iPSC	5.05033946728	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669d-2-3p	6128	no	ESC	5.25894670553	ESC	ESC	ESC	
D0	0.0	mmu-mir-466l-3p	6128	no	2°MEF	-3.5876210519	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466l-3p	6128	no	D11H	1.58244407006	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466l-3p	6128	no	D16H	2.57261129785	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466l-3p	6128	no	D16L	2.56142455137	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466l-3p	6128	no	D18H	1.65113334009	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466l-3p	6128	no	D2H	2.27940704727	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466l-3p	6128	no	D21Ø	3.66928734386	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466l-3p	6128	no	D21L	3.66738951678	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466l-3p	6128	no	D5H	1.03113255677	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466l-3p	6128	no	D8H	0.486315430535	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466l-3p	6128	no	1⁰iPSC	2.1918194084	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466l-3p	6128	no	2⁰iPSC	1.53844042873	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466l-3p	6128	no	ESC	1.53405394366	ESC	ESC	ESC	
D0	0.0	mmu-mir-669o-3p	6128	no	2°MEF	10.2178205488	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669o-3p	6128	no	D11H	10.5340618363	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669o-3p	6128	no	D16H	10.4088653083	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669o-3p	6128	no	D16L	12.4378245574	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669o-3p	6128	no	D18H	9.9918033556	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669o-3p	6128	no	D2H	11.9568330703	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669o-3p	6128	no	D21Ø	13.1317204627	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669o-3p	6128	no	D21L	13.6911547824	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669o-3p	6128	no	D5H	10.6212918405	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669o-3p	6128	no	D8H	11.2290880044	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669o-3p	6128	no	1⁰iPSC	11.9799851709	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669o-3p	6128	no	2⁰iPSC	11.2380450123	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669o-3p	6128	no	ESC	11.2235990207	ESC	ESC	ESC	
D0	0.0	mmu-mir-669b-3p	6128	no	2°MEF	2.60220350772	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-669b-3p	6128	no	D11H	4.23452076663	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-669b-3p	6128	no	D16H	4.42576990952	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-669b-3p	6128	no	D16L	5.57934645938	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-669b-3p	6128	no	D18H	4.29802358995	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-669b-3p	6128	no	D2H	6.21075068661	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-669b-3p	6128	no	D21Ø	5.54090246473	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-669b-3p	6128	no	D21L	6.77936716902	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-669b-3p	6128	no	D5H	4.22827902695	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-669b-3p	6128	no	D8H	4.29881365589	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-669b-3p	6128	no	1⁰iPSC	5.52071145104	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-669b-3p	6128	no	2⁰iPSC	4.27540602291	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-669b-3p	6128	no	ESC	5.1145567962	ESC	ESC	ESC	
D0	0.0	mmu-mir-466n-5p	6128	no	2°MEF	-2.58762105103	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466n-5p	6128	no	D11H	None	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466n-5p	6128	no	D16H	0.705877828727	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466n-5p	6128	no	D16L	-0.904893452907	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466n-5p	6128	no	D18H	-1.27486607863	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466n-5p	6128	no	D2H	-2.42103267107	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466n-5p	6128	no	D21Ø	0.619656576123	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466n-5p	6128	no	D21L	-3.73633266882	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466n-5p	6128	no	D5H	-1.77622236515	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466n-5p	6128	no	D8H	-1.83561266456	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466n-5p	6128	no	1⁰iPSC	1.32508593925	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466n-5p	6128	no	2⁰iPSC	-1.2164470733	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466n-5p	6128	no	ESC	0.866629282744	ESC	ESC	ESC	
D0	0.0	mmu-mir-466m-5p	6128	no	2°MEF	-1.58762105103	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466m-5p	6128	no	D11H	1.62308605456	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466m-5p	6128	no	D16H	0.705877828727	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466m-5p	6128	no	D16L	1.69266908465	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466m-5p	6128	no	D18H	1.57313082808	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466m-5p	6128	no	D2H	0.0814676696817	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466m-5p	6128	no	D21Ø	2.03108282188	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466m-5p	6128	no	D21L	1.96410704888	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466m-5p	6128	no	D5H	-0.638718841575	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466m-5p	6128	no	D8H	1.33431233711	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466m-5p	6128	no	1⁰iPSC	2.6299405208	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466m-5p	6128	no	2⁰iPSC	2.30711488263	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466m-5p	6128	no	ESC	3.7791664415	ESC	ESC	ESC	
D0	0.0	mmu-mir-467c-5p	6128	no	2°MEF	4.08480429081	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-467c-5p	6128	no	D11H	5.96491370687	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-467c-5p	6128	no	D16H	6.99345441881	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-467c-5p	6128	no	D16L	4.78822664005	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-467c-5p	6128	no	D18H	6.47600836119	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-467c-5p	6128	no	D2H	6.1373880424	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-467c-5p	6128	no	D21Ø	5.03108282187	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-467c-5p	6128	no	D21L	5.1755586074	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-467c-5p	6128	no	D5H	5.552901231	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-467c-5p	6128	no	D8H	5.15874077253	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-467c-5p	6128	no	1⁰iPSC	7.36432757086	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-467c-5p	6128	no	2⁰iPSC	6.48225759335	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-467c-5p	6128	no	ESC	7.75787690061	ESC	ESC	ESC	
