chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
D2	0.0	mmu-mir-466p-5p	6128	no	D2H	0.453436447087	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466p-5p	6128	no	D21Ø	2.78315530844	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466p-5p	6128	no	D21L	None	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466p-5p	6128	no	D5H	1.11130290542	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466p-5p	6128	no	D8H	1.48631543054	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466p-5p	6128	no	1⁰iPSC	2.44707646365	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-466p-5p	6128	no	2⁰iPSC	-0.894518978476	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466p-5p	6128	no	ESC	3.2054311962	ESC	ESC	ESC	
D0	0.0	mmu-mir-466h-5p	6128	no	2°MEF	1.2197338709	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-466h-5p	6128	no	D11H	3.34797881641	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-466h-5p	6128	no	D16H	4.26946667864	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-466h-5p	6128	no	D16L	4.08558377304	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-466h-5p	6128	no	D18H	4.40320582664	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-466h-5p	6128	no	D2H	3.48585792474	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-466h-5p	6128	no	D21Ø	4.46564834681	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-466h-5p	6128	no	D21L	3.47636635586	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-466h-5p	6128	no	D5H	3.3027289761	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-466h-5p	6128	no	D8H	4.04090428224	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-466h-5p	6128	no	1⁰iPSC	4.92762106944	1⁰iPSC	1⁰iPSC	1⁰iPSC	
