chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
7509379012_H	0.0	ILMN_1791759	6646	no	LPS 24 hours	14.5526967103	59_LPS_24	NULL	NULL
7509379012_I	0.0	ILMN_1791759	6646	no	LPS 24 hours	3.64468563192	220_LPS_24	NULL	NULL
7509379012_J	0.0	ILMN_1791759	6646	no	untreated 24 hours	6.0648254029	265_UT_24	NULL	NULL
7509379012_K	0.0	ILMN_1791759	6646	no	IFN	14.8505126523	167_IFN	NULL	NULL
7509379012_L	0.0	ILMN_1791759	6646	no	LPS 2 hours	12.3722077563	201_LPS_2	NULL	NULL
7509379014_A	0.0	ILMN_1791759	6646	no	IFN	14.7984314918	104_IFN	NULL	NULL
7509379014_B	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.1707239	182_LPS_2	NULL	NULL
7509379014_C	0.0	ILMN_1791759	6646	no	IFN	15.0161279528	160_IFN	NULL	NULL
7509379014_D	0.0	ILMN_1791759	6646	no	IFN	14.943039326	239_IFN	NULL	NULL
7509379014_E	0.0	ILMN_1791759	6646	no	LPS 2 hours	12.8326369938	271_LPS_2	NULL	NULL
7509379014_F	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.7959916011	267_LPS_2	NULL	NULL
7509379014_G	0.0	ILMN_1791759	6646	no	IFN	14.9227971267	284_IFN	NULL	NULL
7509379014_H	0.0	ILMN_1791759	6646	no	IFN	14.8880889671	132_IFN	NULL	NULL
7509379014_I	0.0	ILMN_1791759	6646	no	LPS 24 hours	3.74475446279	276_LPS_24	NULL	NULL
7509379014_J	0.0	ILMN_1791759	6646	no	LPS 24 hours	11.5330539783	161_LPS_24	NULL	NULL
7509379014_L	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.7184515436	149_LPS_2	NULL	NULL
7509379017_A	0.0	ILMN_1791759	6646	no	IFN	14.843365585	59_IFN	NULL	NULL
7509379017_B	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.5000813055	185_LPS_2	NULL	NULL
7509379017_C	0.0	ILMN_1791759	6646	no	IFN	14.8296038075	285_IFN	NULL	NULL
7509379017_D	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.2512283018	176_LPS_2	NULL	NULL
7509379017_E	0.0	ILMN_1791759	6646	no	LPS 24 hours	7.31408839861	172_LPS_24	NULL	NULL
7509379017_F	0.0	ILMN_1791759	6646	no	LPS 24 hours	3.64092169551	280_LPS_24	NULL	NULL
7509379017_G	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.656594539	110_LPS_2	NULL	NULL
7509379017_H	0.0	ILMN_1791759	6646	no	LPS 24 hours	7.35467546014	223_LPS_24	NULL	NULL
7509379017_I	0.0	ILMN_1791759	6646	no	LPS 24 hours	6.67391178278	263_LPS_24	NULL	NULL
7509379017_J	0.0	ILMN_1791759	6646	no	IFN	14.9894641951	80_IFN	NULL	NULL
7509379017_K	0.0	ILMN_1791759	6646	no	IFN	14.8880889671	142_IFN	NULL	NULL
7509379017_L	0.0	ILMN_1791759	6646	no	LPS 24 hours	4.67711705594	148_LPS_24	NULL	NULL
7509379082_A	0.0	ILMN_1791759	6646	no	LPS 24 hours	13.5727201088	138_LPS_24	NULL	NULL
7509379082_B	0.0	ILMN_1791759	6646	no	IFN	14.9894641951	210_IFN	NULL	NULL
7509379082_C	0.0	ILMN_1791759	6646	no	LPS 24 hours	6.33021667732	246_LPS_24	NULL	NULL
7509379082_D	0.0	ILMN_1791759	6646	no	IFN	14.6453173567	84_IFN	NULL	NULL
7509379082_E	0.0	ILMN_1791759	6646	no	IFN	14.943039326	221_IFN	NULL	NULL
7509379082_F	0.0	ILMN_1791759	6646	no	IFN	14.8577099914	100_IFN	NULL	NULL
7509379082_G	0.0	ILMN_1791759	6646	no	IFN	15.0877453208	247_IFN	NULL	NULL
7509379082_H	0.0	ILMN_1791759	6646	no	IFN	14.9227971267	261_IFN	NULL	NULL
7509379082_I	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.3444655643	155_LPS_2	NULL	NULL
7509379082_J	0.0	ILMN_1791759	6646	no	LPS 24 hours	4.5180702649	158_LPS_24	NULL	NULL
7509379082_K	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.8757419768	231_LPS_2	NULL	NULL
7509379082_L	0.0	ILMN_1791759	6646	no	LPS 24 hours	3.80031192687	278_LPS_24	NULL	NULL
7509379090_A	0.0	ILMN_1791759	6646	no	IFN	14.9326599733	181_IFN	NULL	NULL
7509379090_B	0.0	ILMN_1791759	6646	no	LPS 24 hours	4.22779085063	153_LPS_24	NULL	NULL
7509379090_C	0.0	ILMN_1791759	6646	no	LPS 2 hours	11.0699184367	285_LPS_2	NULL	NULL
7509379090_D	0.0	ILMN_1791759	6646	no	IFN	14.8964988872	63_IFN	NULL	NULL
7509379090_E	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.4910904613	132_LPS_2	NULL	NULL
7509379090_F	0.0	ILMN_1791759	6646	no	untreated 24 hours	8.02033127928	272_UT_24	NULL	NULL
7509379090_G	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.0563163653	12_LPS_2	NULL	NULL
7509379090_H	0.0	ILMN_1791759	6646	no	IFN	14.9227971267	206_IFN	NULL	NULL
7509379090_I	0.0	ILMN_1791759	6646	no	LPS 24 hours	10.674160218	139_LPS_24	NULL	NULL
7509379090_J	0.0	ILMN_1791759	6646	no	LPS 24 hours	9.84759245365	85_LPS_24	NULL	NULL
7509379090_K	0.0	ILMN_1791759	6646	no	LPS 24 hours	4.29511064012	285_LPS_24	NULL	NULL
7509379090_L	0.0	ILMN_1791759	6646	no	LPS 2 hours	12.1968854704	281_LPS_2	NULL	NULL
7509379091_A	0.0	ILMN_1791759	6646	no	LPS 24 hours	10.5313561736	140_LPS_24	NULL	NULL
